,age,workclass,fnlwgt,education,education_num,marital_status,post,relationship,nation,gender,capital_gain,capital_loss,hours_per_week,country,wealth
0,50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,13, United-States, lowerCase
1,28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, F,0,0,40, Cuba, lowerCase
2,37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, F,0,0,40, United-States, lowerCase
3,52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,45, United-States, upperCase
4,31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, F,14084,0,50, United-States, upperCase
5,42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, M,5178,0,40, United-States, upperCase
6,37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, M,0,0,80, United-States, upperCase
7,23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, F,0,0,30, United-States, lowerCase
8,32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, M,0,0,50, United-States, lowerCase
10,34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, M,0,0,45, Mexico, lowerCase
11,25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, M,0,0,35, United-States, lowerCase
12,32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, M,0,0,40, United-States, lowerCase
13,43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, F,0,0,45, United-States, upperCase
14,40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,60, United-States, upperCase
15,35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, M,0,0,40, United-States, lowerCase
16,43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, M,0,2042,40, United-States, lowerCase
17,59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, F,0,0,40, United-States, lowerCase
18,56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, M,0,0,40, United-States, upperCase
19,19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, M,0,0,40, United-States, lowerCase
21,39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, M,0,0,80, United-States, lowerCase
22,23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, M,0,0,52, United-States, lowerCase
23,20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, M,0,0,44, United-States, lowerCase
24,30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, M,0,0,40, United-States, lowerCase
25,22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, M,0,0,15, United-States, lowerCase
26,21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, M,0,0,40, United-States, lowerCase
27,48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,40, United-States, lowerCase
28,31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,43, United-States, lowerCase
29,24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, M,0,0,50, United-States, lowerCase
30,49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, F,0,0,40, United-States, lowerCase
31,25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, M,0,0,35, United-States, lowerCase
32,57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, M,0,0,40, United-States, upperCase
33,53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,38, United-States, lowerCase
34,44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, F,0,0,40, United-States, lowerCase
35,29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, M,0,0,43, United-States, lowerCase
36,25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, F,0,0,40, United-States, lowerCase
38,47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, M,0,0,60, United-States, lowerCase
39,43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, M,0,0,40, United-States, upperCase
40,46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,40, Mexico, lowerCase
41,35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, M,0,0,40, Puerto-Rico, lowerCase
42,41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,48, United-States, lowerCase
43,30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, M,5013,0,40, United-States, lowerCase
45,48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, M,0,0,40, United-States, lowerCase
46,42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,45, United-States, upperCase
47,29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, M,0,0,58, United-States, lowerCase
48,36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,0,0,40, United-States, lowerCase
49,28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, F,0,0,40, United-States, lowerCase
50,53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, F,0,0,40, United-States, upperCase
51,49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,50, United-States, upperCase
52,19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, M,0,0,32, United-States, lowerCase
53,29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, M,0,0,70, United-States, upperCase
55,18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, F,0,0,22, United-States, lowerCase
56,31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, M,0,0,40, United-States, lowerCase
57,18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, M,0,0,30, United-States, lowerCase
