,age,workclass,fnlwgt,education,education_num,marital_status,post,relationship,nation,gender,capital_gain,capital_loss,hours_per_week,country,wealth
0,50,,83311,,13,,,,,,0,0,13,,
1,28,,338409,,13,,,,,,0,0,40,,
2,37,,284582,,14,,,,,,0,0,40,,
3,52,,209642,,9,,,,,,0,0,45,,
4,31,,45781,,14,,,,,,14084,0,50,,
5,42,,159449,,13,,,,,,5178,0,40,,
6,37,,280464,,10,,,,,,0,0,80,,
7,23,,122272,,13,,,,,,0,0,30,,
8,32,,205019,,12,,,,,,0,0,50,,
10,34,,245487,,4,,,,,,0,0,45,,
11,25,,176756,,9,,,,,,0,0,35,,
12,32,,186824,,9,,,,,,0,0,40,,
13,43,,292175,,14,,,,,,0,0,45,,
14,40,,193524,,16,,,,,,0,0,60,,
15,35,,76845,,5,,,,,,0,0,40,,
16,43,,117037,,7,,,,,,0,2042,40,,
17,59,,109015,,9,,,,,,0,0,40,,
18,56,,216851,,13,,,,,,0,0,40,,
19,19,,168294,,9,,,,,,0,0,40,,
21,39,,367260,,9,,,,,,0,0,80,,
22,23,,190709,,12,,,,,,0,0,52,,
23,20,,266015,,10,,,,,,0,0,44,,
24,30,,59951,,10,,,,,,0,0,40,,
25,22,,311512,,10,,,,,,0,0,15,,
26,21,,197200,,10,,,,,,0,0,40,,
27,48,,265477,,12,,,,,,0,0,40,,
28,31,,507875,,5,,,,,,0,0,43,,
29,24,,172987,,13,,,,,,0,0,50,,
30,49,,94638,,9,,,,,,0,0,40,,
31,25,,289980,,9,,,,,,0,0,35,,
32,57,,337895,,13,,,,,,0,0,40,,
33,53,,144361,,9,,,,,,0,0,38,,
34,44,,128354,,14,,,,,,0,0,40,,
35,29,,271466,,11,,,,,,0,0,43,,
36,25,,32275,,10,,,,,,0,0,40,,
38,47,,109832,,9,,,,,,0,0,60,,
39,43,,237993,,10,,,,,,0,0,40,,
40,46,,216666,,3,,,,,,0,0,40,,
41,35,,56352,,11,,,,,,0,0,40,,
42,41,,147372,,9,,,,,,0,0,48,,
43,30,,188146,,9,,,,,,5013,0,40,,
45,48,,149640,,9,,,,,,0,0,40,,
46,42,,116632,,16,,,,,,0,0,45,,
47,29,,105598,,10,,,,,,0,0,58,,
48,36,,155537,,9,,,,,,0,0,40,,
49,28,,183175,,10,,,,,,0,0,40,,
50,53,,169846,,9,,,,,,0,0,40,,
51,49,,191681,,10,,,,,,0,0,50,,
52,19,,101509,,10,,,,,,0,0,32,,
53,29,,162298,,13,,,,,,0,0,70,,
55,18,,309634,,7,,,,,,0,0,22,,
56,31,,125927,,4,,,,,,0,0,40,,
57,18,,446839,,9,,,,,,0,0,30,,
58,46,,51618,,9,,,,,,0,0,40,,
59,59,,159937,,9,,,,,,0,0,48,,
60,44,,343591,,9,,,,,,14344,0,40,,
61,49,,268234,,9,,,,,,0,0,40,,
62,30,,54334,,5,,,,,,0,0,40,,
63,43,,410867,,16,,,,,,0,0,50,,
64,57,,249977,,11,,,,,,0,0,40,,
65,28,,212563,,10,,,,,,0,0,25,,
67,34,,226296,,13,,,,,,0,0,40,,
68,29,,115585,,10,,,,,,0,0,50,,
69,48,,191277,,16,,,,,,0,1902,60,,
70,37,,202683,,10,,,,,,0,0,48,,
71,48,,171095,,12,,,,,,0,0,40,,
72,76,,124191,,14,,,,,,0,0,40,,
73,32,,317660,,9,,,,,,7688,0,40,,
75,30,,194901,,7,,,,,,0,0,40,,
76,42,,124692,,9,,,,,,0,0,40,,
77,24,,432376,,13,,,,,,0,0,40,,
78,38,,65324,,15,,,,,,0,0,40,,
79,56,,335605,,9,,,,,,0,1887,50,,
80,28,,377869,,10,,,,,,4064,0,25,,
81,36,,102864,,9,,,,,,0,0,40,,
82,53,,95647,,5,,,,,,0,0,50,,
83,56,,303090,,10,,,,,,0,0,50,,
84,55,,247552,,10,,,,,,0,0,56,,
85,22,,102632,,9,,,,,,0,0,41,,
86,21,,199915,,10,,,,,,0,0,40,,
87,30,,77143,,13,,,,,,0,0,40,,
88,29,,267989,,13,,,,,,0,0,50,,
89,19,,301606,,10,,,,,,0,0,35,,
90,47,,287828,,13,,,,,,0,0,40,,
91,20,,111697,,10,,,,,,0,1719,28,,
92,31,,114937,,12,,,,,,0,0,40,,
94,28,,69621,,12,,,,,,0,0,60,,
95,38,,120985,,9,,,,,,4386,0,35,,
96,37,,254202,,13,,,,,,0,0,50,,
97,46,,146195,,12,,,,,,0,0,36,,
98,38,,125933,,14,,,,,,0,0,40,,
99,43,,56920,,9,,,,,,0,0,60,,
100,27,,163127,,11,,,,,,0,0,35,,
101,20,,34310,,10,,,,,,0,0,20,,
